category,value
Community Justice Support and Assistance,72968
Public Defence Service,48440
Justice and Emergency Agencies Property and Shared Services,39531
Justice Policy Advice,38957
Administration of Legal Services,34503
Elimination of Family Violence and Sexual Violence,21919
Human Rights Commission,13829
Write Downs of Crown Assets managed by Ministry of Justice,13512
Sector Leadership and Support,13240
Privacy Commissioner,8171
Independent Police Conduct Authority,6742
Criminal Cases Review Commission,5191
Law Commission,4205
Provision of Protective Fiduciary Services (Public Trust),3617
Electoral Commission - Broadcasting,3605
Inspector-General of Intelligence and Security,2053
Tangata Whenua-led initiatives,450
Lands,747190
Location Based Information,127231
LINZ Location Based Information Infrastructure,124348
Property Rights (Survey and Title System),123325
Proceeds from Sale of NZTA Properties,100000
Land Tenure Reform Acquisitions,96114
Crown Land Management,74789
Capital Expenditure,51487
Purchase and Preparation of Assets for Possible Use in Future ToW Settlements,20556
Compliance with and Administration of the Overseas Investment Regime,19162
Hydrographic Surveying,3300
Regional Elevation Data Capture,2100
Crown Acquisitions - Huntly East,1500
Canterbury Earthquake Recovery Land Ownership and Management,1500
Administraton of NZ Geographic Board,783
Bad and Doubtful Debts,645
Crown Purchases - Land Exchanges,350
Maori Development,644234
Commissioning Whanau Ora Outcomes,175052
Delivering Housing Opportunities for Maori,114268
Maori Broadcast and Streamed Services,85259
Advice and Services,81418
Maori Development Fund,69663
Family Tribal and Community Maori Language Revitalisation,28337
Maori Television,23264
Maori Trustee Function,18786
Community and Maori Governance Organisaations,14375
National Maori Language Revitalisation,10914
Overseeing Whanau Ora Commissioning Approach,10486
Social Procurement,7806
Capital Expenditure,4077
Rangatiratanga Grants,480
Admin Expenses for Crown Land,49
Arts Culture and Heritage,447743
Public Media Services,184450
Museum Services,56645
Performing Arts Services,47465
COVID-19 Cultural Sector Response and Recovery,32000
Promotion and Support of the Arts and Film,22090
Management of Historic Places,18677
Heritage and Culture Sector Capital,16758
Regional Culture and Heritage Fund,15000
Heritage Services,14868
Policy Advice Monitoring of Funded Agencies and Ministerial Services,14506
Heritage and Cultural Sector Initiatives,9479
Supporting Commemorations and Anniversaries,6650
Maintenance of War Graves Historic Graves and Memorials,5032
Earthquake-prone Heritage Buildings,2623
Cultural Diplomacy International Programme,850
Protection of Taonga Tuturu,650
Communications Security and Intelligence,401946
Communications Security and Intelligence,401946
Statistics,265906
Official Statistics,191255
2023 Census,44624
Capital Expenditure,17050
Services toOther Agencies,12977
Building and Construction,251515
Temporary Accommodation Services (Civil Emergency),106319
Building Policy Regulation and Advice,58747
Residential Tenancy and Unit Title Services,48062
Occupational Licensing,16367
Residential Earthquake-Prone Building Assistance Scheme,9900
Weathertight Services,5166
Residential Earthquake-Prone Building Support Services,3269
Other Expenses,2859
Insurance Claims Resolution,826
Parliamentary Service,222532
Operations Information and Advisory Services,88055
Party and Member Support,48214
Members\' Salaries and Allowances,22000
Depreciation Expense on Parliamentary Complex,18000
Future Accommodation Strategy,12930
Capital Expenditure,7775
Crown Asset Management,7486
Travel of Members and Others,4800
Accommodation of Members and Travel of Members\' Families,3700
Members Communications,3348
Final and Other Contractual Payments to Staff,3255
Travel of Former MPs,1300
Transitional Costs between Parliaments,1195
Additional Support for Members,300
Support Services to the Speaker,174
Forestry,193278
Growth and Development of the Forestry Sector,172715
Capital Investment in the Crown\'s Forestry Assets,18000
Forestry and Economic Development and Erosion Control - Tairawhiti,2563
Sport and Recreation,163028
High Performance Sport,74542
Sport and Recreation Programmes,71085
Integrity Sport and Recreation Commission,7879
Sports Anti-Doping,4758
Prime Minister\'s Sport Scholarships,4250
Advice and Monitoring of Sport and Recreation Crown Entities,470
Miscellaneous Grants,44
Audit,157282
Audit and Assurance Services,131859
Statutory Auditor Function,20027
Controller and Auditor-General - Capital Expenditure,4297
Remuneration of Auditor General and Deputy Auditor-General,1099
Prime Minister and Cabinet,139586
Advice and Support Services,55545
Emergency Management Leadership and Support,46284
Extreme Weather Events All of Government Response,15702
Extreme Weather Evvents - Regional and Local Support,15000
Capital Expenditure,2960
Centre of Excellence for Preventing and Countering Violent Extremism,2150
Cyber Security,1945
Veterans Affairs,134894
Unwind of Discount Rate - Veterans Entitlements,105000
Policy Advice and Other Services for Veterans,12870
Services Cost - Veterans\' Entitlements,12000
Support for Vietnam Veterans,3100
Development and Maintenance of Service Cemeteries,746
Grant Payments to NGOs in Support of Veterans and their Families,275
Impairment of Debt for Benefits,250
Military Veterans Kaupapa Inquiry Claimant Costs,250
Veteran Trust Loans Write Down,203
Veteran Assistance to Attend Commemorations and Revisit Battlefields,200
Attorney General,127293
Law Officer Functions,125620
Departmental Capital Expenditure,1673
Security Intelligence,107337
Intelligence and Security,107337
Te Arawhiti (Maori - Crown Relations),98851
Treaty Negotiations and Marine and Coastal Area Customary Interests,36768
Post-Settlement Resolution for NZDF Redress at RNZAF Woodbourne,25200
Financial Assistance Toward Determining Customary Interests in the Marine and Coastal Area,12023
Maori-Crown Relations,11825
Claimant Funding,7602
Crown Response to Wakatu Litigation and Related Proceedings,2783
Operations of Ngapuhi Investment Fund,1900
Ancillary Redress,750
Pacific Peoples,83029
Policy Advice and Ministerial Servicing,43428
Skills Training and Employment,18080
Promotions - Business Development,11592
Housing Pacific Families,8357
Study and Training Awards for Business Development,1222
Capital Expenditure,350
Public Service,59757
Leadership of the Public Management System,36400
Remuneration of Chief Executives,18617
Public Service Fale,4000
Capital Expenditure,540
Open Government Partnership,200
Ombudsmen,56854
Investigation and Resolution of Complaints about Government Administration,53765
Capital Expenditure,2583
Remuneration of Ombudsmen,506
Parliamentary Counsel,31891
Drafting of and Access to Legislation,30691
Capital Expenditure,1200
Office of the Clerk,26650
Secretariat Services for the House of Representatives,22887
Capital Expenditure,2550
Inter-Parliamentary Relations,1213
Serious Fraud,17104
Prevention Investigatoin and Prosecution of Serious Fraud Crime,16964
Capital Expenditure,140
Women,15159
Improving the Lives of New Zealand Women,15119
Capital Expenditure,40
Parliamentary Commissioner for the Environment,4416
Reports and Advice,3946
Remuneration of the Parliamentary Commissioner for the Environment,398
Capital Expenditure,72
